iter	RMSE
0	0.2129667143
1	0.1732792071
2	0.1565319622
3	0.148523557
4	0.1431260395
5	0.1398054746
6	0.1375879368
7	0.1356616336
8	0.1326161389
9	0.1313625923
10	0.1280894587
11	0.1268192737
12	0.125942644
13	0.1249696803
14	0.1232145911
15	0.1218660571
16	0.1211538071
17	0.1204947788
18	0.1199651035
19	0.119358799
20	0.1188849313
21	0.1179273664
22	0.1163063541
23	0.1158202958
24	0.1150312865
25	0.1137063064
26	0.1132702471
27	0.1128983721
28	0.1124546275
29	0.1118434905
30	0.1114513924
31	0.1110159362
32	0.1101336597
33	0.1097325453
34	0.1089580212
35	0.1085996947
36	0.1082275619
37	0.1078598833
38	0.1072775782
39	0.1065172768
40	0.1061034269
41	0.1057882628
42	0.1056203853
43	0.105102212
44	0.1048932194
45	0.1047617166
46	0.1046026219
47	0.1042011539
48	0.103771753
49	0.1033076924
50	0.1027139011
51	0.1023670226
52	0.1021611701
53	0.1020331718
54	0.1019133838
55	0.1018117524
56	0.1015081784
57	0.1010578467
58	0.1007948085
59	0.1006429318
60	0.1004982859
61	0.1003204077
62	0.1002127724
63	0.1001033517
64	0.09977347976
65	0.09946323149
66	0.09937511105
67	0.09906491614
68	0.09886487503
69	0.0987168263
70	0.09862016132
71	0.09830522412
72	0.09808342447
73	0.09788480027
74	0.09766115887
75	0.09753623373
76	0.09735694615
77	0.09719640783
78	0.0971170128
79	0.09699286964
80	0.09678902552
81	0.09656172407
82	0.09646555402
83	0.09638677489
84	0.09624235028
85	0.09615465031
86	0.09595838993
87	0.09577279671
88	0.09571526124
89	0.09557286757
90	0.09540672137
91	0.09526528738
92	0.09518405988
93	0.095126784
94	0.0949541675
95	0.09476445722
96	0.09462027272
97	0.09453098718
98	0.09445721564
99	0.09436277612
