iter	Passed	Remaining
0	476	47178
1	799	39176
2	1056	34146
3	1320	31686
4	1579	30006
5	1827	28635
6	2063	27409
7	2299	26443
8	2550	25791
9	2771	24939
10	3049	24669
11	3299	24195
12	3531	23630
13	3791	23289
14	4058	22996
15	4315	22653
16	4560	22264
17	4785	21801
18	5008	21353
19	5243	20974
20	5485	20634
21	5801	20569
22	6122	20498
23	6363	20149
24	6607	19822
25	6854	19508
26	7165	19374
27	7511	19314
28	7789	19070
29	8048	18778
30	8252	18368
31	8469	17996
32	8713	17690
33	8960	17392
34	9217	17117
35	9439	16781
36	9695	16508
37	10004	16323
38	10203	15959
39	10440	15661
40	10671	15356
41	10891	15040
42	11102	14716
43	11297	14379
44	11511	14069
45	11780	13829
46	12078	13620
47	12395	13428
48	12694	13212
49	12941	12941
50	13200	12682
51	13503	12465
52	13707	12155
53	13952	11885
54	14237	11649
55	14509	11400
56	14750	11127
57	14994	10858
58	15218	10575
59	15415	10277
60	15626	9991
61	15846	9712
62	16038	9419
63	16243	9136
64	16449	8857
65	16670	8588
66	16844	8296
67	17099	8047
68	17335	7788
69	17561	7526
70	17783	7263
71	17991	6996
72	18206	6733
73	18424	6473
74	18632	6210
75	18837	5948
76	19043	5688
77	19262	5432
78	19445	5168
79	19669	4917
80	19889	4665
81	20134	4419
82	20326	4163
83	20547	3913
84	20752	3662
85	20951	3410
86	21177	3164
87	21391	2917
88	21602	2670
89	21827	2425
90	22031	2178
91	22254	1935
92	22437	1688
93	22641	1445
94	22881	1204
95	23095	962
96	23307	720
97	23510	479
98	23734	239
99	23961	0
